IDPC3,CX,CY,k3,type2.x,Cut32,Ingrowth23,Growth23,Mortality23,Mortality23_nd,Mortality_ausente23,BAc23,ba_ifn2,sf_nfi,sgdd_nfi,PPplot,PETplot,WAIplot,speimean,speimin
191475A1,574000,4506000,2,Natural,0,0.007057806996560285,0.015029227947747144,0,0,0,0.015029227947747144,11.021,20.44444,2023.802,605,963,-37.1754932502596,-0.370210017272205,-1.65588289002577
191483A1,575000,4504000,1,Natural,0,0,0.007621794852810921,0.004386154118830989,0.07429236363636364,0,0.014006356831493379,16.937928222222222,20.37037,2014.181,604,962,-37.2141372141372,-0.370210017272205,-1.65588289002577
191484A1,575000,4506000,1,Natural,0,0,0.009971082133110919,0.0055332271688991385,0.06593964646464646,0,0.00997108213311092,11.917032222222222,20.14815,2022.996,607,962,-36.9022869022869,-0.370210017272205,-1.65588289002577
191491A1,576000,4504000,1,Natural,0,0.05156384565219691,0.12715218432981187,0,0,0,0.03224870385555118,3.8729090277777782,20.77778,2000.193,606,959,-36.8091762252346,-0.370210017272205,-1.65588289002577
191492A1,576000,4506000,2,Natural,1,0,0.006692608932175521,0.0024807953620434907,0.0766669191919192,0.040131991491829826,-0.00210939022374644,30.90416902777778,20.44444,2018.405,607,962,-36.9022869022869,-0.370210017272205,-1.65588289002577
191508A1,578000,4506000,1,Natural,0,0,0.05399091880646555,0,0,0,0.007521519509105009,4.505036805555555,19.81481,2024.717,603,960,-37.1875,-0.370210017272205,-1.65588289002577
191589A1,590000,4505000,1,Natural,0,0,0.03150761031602636,0,0,0,0.00980652068629373,16.88859652777778,21.77778,1960.405,595,945,-37.037037037037,-0.251657740007864,-1.62734146912893
191597A1,592000,4503000,1,Natural,0,0,0.052194919058553335,0,0,0,0.025747576507311076,6.435772916666667,18.07407,2088.983,563,960,-41.3541666666667,-0.251657740007864,-1.62734146912893
191609A1,594000,4509000,1,Natural,1,0,0.012073379270559993,0,0,0,0.012073379270559998,14.45143925,18.96296,2063.769,562,951,-40.9043112513144,-0.251657740007864,-1.62734146912893
191619A1,597000,4504000,2,Natural,0,0,0.038994907588872384,0,0,0,0.0015624606520079694,19.067712500000003,22.77778,1922.795,594,931,-36.1976369495166,-0.251657740007864,-1.62734146912893
191628A1,599000,4503000,1,Natural,0,0.023967378460721955,0.05109881137020553,0,0,0,0.03956247075208446,6.436210416666667,23.51852,1891.716,595,924,-35.6060606060606,-0.251657740007864,-1.62734146912893
191647A1,605000,4504000,1,Natural,0,0,0.034698605457964396,0,0,0,0.03469860545796439,1.556,20.85185,1983.606,562,929,-39.5048439181916,-0.251657740007864,-1.62734146912893
191648A1,605000,4506000,1,Natural,0,0,0.021498089700770464,0,0,0,6.089219772520235e-5,9.4073355,20.92593,1985.016,558,929,-39.9354144241119,-0.251657740007864,-1.62734146912893
191651A1,606000,4504000,2,Natural,0,0,0.02063310989410298,0,0,0,0.014480445747207594,20.111186111111113,21.74074,1941.071,567,925,-38.7027027027027,-0.251657740007864,-1.62734146912893
191652A1,606000,4506000,1,Natural,0,0,0.01548377513694465,0,0,0,0.007255430374979322,8.001115583333334,20.7037,1994.072,558,931,-40.0644468313641,-0.251657740007864,-1.62734146912893
191661A1,609000,4505000,2,Natural,0,0,0.012862213057745476,0.0163959983836254,0.39835530303030303,0,0.009665928446251066,24.295885722222224,23.77778,1886.413,580,913,-36.473165388828,-0.251657740007864,-1.62734146912893
191669A1,611000,4506000,1,Natural,0,0,0.010897913341676774,0.021026505077488503,0.07412809090909091,0,0.01089791334167678,3.5254594444444445,22.66667,1923.408,553,919,-39.8258977149075,-0.251657740007864,-1.62734146912893
191911A1,570000,4502000,1,Natural,0,0,0.039246518204516904,0,0,0,0.009929373732233198,4.3665972222222225,20.44444,2021.505,612,966,-36.6459627329193,-0.370210017272205,-1.65588289002577
191912A1,571000,4502000,1,Natural,1,0,0.03890164820585946,0,0,0,0.03890164820585946,2.3415472222222222,19.96296,2029.955,609,967,-37.0217166494312,-0.370210017272205,-1.65588289002577
191913A1,573000,4502000,1,Natural,1,0,0.02310932113522725,0,0,0,0.02310932113522726,4.238970138888889,20.22222,2030.507,608,967,-37.1251292657704,-0.370210017272205,-1.65588289002577
191921A1,584000,4498000,1,Natural,0,0,0.0318003644172365,0,0,0,-2.486629949181632e-5,10.912527083333334,22.55556,1920.529,610,952,-35.9243697478992,-0.370210017272205,-1.65588289002577
191924A1,585000,4497000,1,Natural,0,0,0.030670947585379815,0,0,0,0.030670947585379818,2.749575,23,1899.545,620,938,-33.9019189765458,-0.251657740007864,-1.62734146912893
191935A1,588000,4498000,1,Natural,0,0,0.007594922665284879,0,0,0,-0.0016694940480083396,7.462570583333333,17.11111,2123.628,574,969,-40.7636738906089,-0.251657740007864,-1.62734146912893
191945A1,591000,4497000,1,Natural,0,0,0.02915906447074479,0,0,0,-2.628265338165536e-4,7.017350694444445,24.03704,1868.757,620,931,-33.4049409237379,-0.251657740007864,-1.62734146912893
191946A1,591000,4499000,1,Natural,1,0,0.01915884554459484,0,0,0.0042856123080270035,0.010446923588118912,13.074755555555557,18.40741,2071.451,578,954,-39.4129979035639,-0.251657740007864,-1.62734146912893
191947A1,591000,4501000,1,Natural,0,0,0.033192817051118415,0,0,0,0.033192817051118415,8.646205555555555,15.48148,2223.406,550,971,-43.3573635427394,-0.251657740007864,-1.62734146912893
191948A1,592000,4497000,1,Natural,0,0,0.07435080834856532,0,0,0,0.02605556300083363,4.422936805555556,23.48148,1882.61,609,937,-35.0053361792956,-0.251657740007864,-1.62734146912893
191959A1,596000,4485000,1,Natural,0,0.009928804110555125,0.0594637777801291,0,0,0,0.005713164200925511,10.97838888888889,26.92593,1743.549,652,913,-28.5870755750274,-0.251657740007864,-1.62734146912893
191960A1,596000,4487000,1,Natural,0,0,0.03496774334688543,0,0,0,0.02484582785488555,15.981424305555556,16.44444,2134.061,576,956,-39.7489539748954,-0.251657740007864,-1.62734146912893
191961A1,596000,4490000,2,Natural,0,0.004211037841098019,0.03290404200467704,0.003177549944346984,0.08075511363636365,0,0.016059856956036258,25.414270444444448,25.77778,1783.806,648,912,-28.9473684210526,-0.251657740007864,-1.62734146912893
191966A1,597000,4489000,1,Natural,0,0,0.038847483136698766,0,0,0,0.03884748313669875,2.9240787777777784,25.77778,1786.433,636,915,-30.4918032786885,-0.251657740007864,-1.62734146912893
191973A1,598000,4502000,1,Natural,0,0,0.02393908324199797,0,0,0,-0.013786039818522328,4.873905555555556,22.85185,1913.316,593,928,-36.0991379310345,-0.251657740007864,-1.62734146912893
